C:\dev\Miniconda3\python.exe C:/dev/master-thesis-code/optimize_cmdargs.py
Running: ['python', 'C:\\dev\\npfl122\\labs\\03\\q_learning.py', '--alpha=0.44872917461108064', '--epsilon=0.07597094937369145', '--episodes=1000']
[2018-11-19 15:11:56,566] Making new env: MountainCarLimit1000-v0
Episode 10, mean 100-episode return -1000.0
Episode 20, mean 100-episode return -993.45
Episode 30, mean 100-episode return -927.4666666666667
Episode 40, mean 100-episode return -871.35
Episode 50, mean 100-episode return -788.74
Episode 60, mean 100-episode return -750.4833333333333
Episode 70, mean 100-episode return -736.1428571428571
Episode 80, mean 100-episode return -726.475
Episode 90, mean 100-episode return -700.9333333333333
Episode 100, mean 100-episode return -717.97
Episode 110, mean 100-episode return -707.22
Episode 120, mean 100-episode return -686.56
Episode 130, mean 100-episode return -671.26
Episode 140, mean 100-episode return -648.41
Episode 150, mean 100-episode return -661.61
Episode 160, mean 100-episode return -663.83
Episode 170, mean 100-episode return -642.28
Episode 180, mean 100-episode return -617.82
Episode 190, mean 100-episode return -603.27
Episode 200, mean 100-episode return -556.95
Episode 210, mean 100-episode return -505.0
Episode 220, mean 100-episode return -466.31
Episode 230, mean 100-episode return -429.48
Episode 240, mean 100-episode return -421.64
Episode 250, mean 100-episode return -403.97
Episode 260, mean 100-episode return -377.12
Episode 270, mean 100-episode return -362.12
Episode 280, mean 100-episode return -353.36
Episode 290, mean 100-episode return -351.53
Episode 300, mean 100-episode return -345.79
Episode 310, mean 100-episode return -339.27
Episode 320, mean 100-episode return -333.57
Episode 330, mean 100-episode return -346.29
Episode 340, mean 100-episode return -337.95
Episode 350, mean 100-episode return -332.3
Episode 360, mean 100-episode return -328.73
Episode 370, mean 100-episode return -331.19
Episode 380, mean 100-episode return -344.45
Episode 390, mean 100-episode return -375.2
Episode 400, mean 100-episode return -399.44
Episode 410, mean 100-episode return -402.13
Episode 420, mean 100-episode return -401.28
Episode 430, mean 100-episode return -393.35
Episode 440, mean 100-episode return -390.24
Episode 450, mean 100-episode return -384.25
Episode 460, mean 100-episode return -399.9
Episode 470, mean 100-episode return -406.61
Episode 480, mean 100-episode return -405.1
