max_x [-0.3622083] max max 0.5102545213865606
         3341606 function calls (3330980 primitive calls) in 10.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    805/1    0.034    0.000   10.462   10.462 {built-in method builtins.exec}
        1    0.000    0.000   10.462   10.462 bo_performance.py:1(<module>)
        1    0.002    0.002    9.895    9.895 bayesian_optimization.py:138(bo_maximize)
     1274    0.017    0.000    9.781    0.008 _minimize.py:43(minimize)
     1274    0.103    0.000    9.732    0.008 lbfgsb.py:211(_minimize_lbfgsb)
     6145    0.017    0.000    9.529    0.002 lbfgsb.py:279(func_and_grad)
    16913    0.031    0.000    9.407    0.001 optimize.py:291(function_wrapper)
       49    0.000    0.000    5.965    0.122 gaussian_process.py:110(optimize_kernel)
       49    0.000    0.000    5.964    0.122 kernel_opt.py:59(compute_optimized_kernel)
    13869    0.282    0.000    5.775    0.000 kernel_opt.py:13(step)
     6145    0.092    0.000    5.691    0.001 optimize.py:651(_approx_fprime_helper)
       49    0.005    0.000    3.917    0.080 bayesian_optimization.py:208(propose_location)
       49    0.002    0.000    3.906    0.080 parallel.py:866(__call__)
     1274    0.006    0.000    3.898    0.003 parallel.py:735(dispatch_one_batch)
     1225    0.006    0.000    3.852    0.003 parallel.py:698(_dispatch)
     1225    0.002    0.000    3.843    0.003 _parallel_backends.py:180(apply_async)
     1225    0.001    0.000    3.834    0.003 _parallel_backends.py:546(__init__)
     1225    0.005    0.000    3.833    0.003 parallel.py:220(__call__)
     1225    0.002    0.000    3.821    0.003 parallel.py:224(<listcomp>)
     3044    0.008    0.000    3.601    0.001 bayesian_optimization.py:210(min_obj)
     3044    0.060    0.000    3.591    0.001 acquisition_functions.py:12(expected_improvement)
    23001    2.597    0.000    2.910    0.000 linalg.py:319(solve)
     3044    0.198    0.000    2.694    0.001 gaussian_process.py:47(posterior)
    13869    1.782    0.000    1.926    0.000 linalg.py:1885(slogdet)
    23001    0.229    0.000    1.876    0.000 kernels.py:16(__call__)
    23001    0.984    0.000    1.411    0.000 kernels.py:105(kernel)
    698/5    0.003    0.000    0.567    0.113 <frozen importlib._bootstrap>:966(_find_and_load)
    698/5    0.003    0.000    0.567    0.113 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    657/7    0.003    0.000    0.566    0.081 <frozen importlib._bootstrap>:651(_load_unlocked)
    917/9    0.001    0.000    0.566    0.063 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    549/5    0.001    0.000    0.566    0.113 <frozen importlib._bootstrap_external>:672(exec_module)
     3044    0.427    0.000    0.512    0.000 linalg.py:953(eigvals)
        1    0.000    0.000    0.462    0.462 bayesian_optimization.py:1(<module>)
     3044    0.122    0.000    0.426    0.000 _distn_infrastructure.py:1626(pdf)
   451/50    0.001    0.000    0.422    0.008 {built-in method builtins.__import__}
     3044    0.146    0.000    0.403    0.000 _distn_infrastructure.py:1709(cdf)
     6090    0.013    0.000    0.364    0.000 numeric.py:2203(allclose)
4097/2346    0.003    0.000    0.360    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
    60881    0.344    0.000    0.344    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6090    0.037    0.000    0.312    0.000 numeric.py:2274(isclose)
    46003    0.178    0.000    0.292    0.000 twodim_base.py:140(eye)
    23001    0.028    0.000    0.229    0.000 {method 'sum' of 'numpy.ndarray' objects}
       22    0.001    0.000    0.226    0.010 __init__.py:1(<module>)
    34766    0.064    0.000    0.217    0.000 fromnumeric.py:64(_wrapreduction)
     6088    0.023    0.000    0.213    0.000 _distn_infrastructure.py:524(argsreduce)
    64266    0.045    0.000    0.202    0.000 fromnumeric.py:49(_wrapfunc)
    23001    0.013    0.000    0.201    0.000 _methods.py:34(_sum)
    46002    0.039    0.000    0.199    0.000 fromnumeric.py:1764(clip)
    42958    0.103    0.000    0.186    0.000 linalg.py:141(_commonType)
     6090    0.081    0.000    0.177    0.000 numeric.py:2350(within_tol)
     3044    0.130    0.000    0.161    0.000 linalg.py:653(cholesky)
     6088    0.032    0.000    0.154    0.000 _distn_infrastructure.py:549(<listcomp>)
    78397    0.149    0.000    0.149    0.000 {built-in method numpy.core.multiarray.zeros}
        1    0.000    0.000    0.137    0.137 pyplot.py:19(<module>)
    21314    0.021    0.000    0.135    0.000 fromnumeric.py:2016(all)
     6088    0.014    0.000    0.135    0.000 numerictypes.py:950(find_common_type)
