de 2570, mean 100-episode return -212.48
Episode 2890, mean 100-episode return -275.42
Episode 3400, mean 100-episode return -182.77
Episode 950, mean 100-episode return -977.88
Episode 2580, mean 100-episode return -210.86
Episode 1430, mean 100-episode return -551.01
Episode 1330, mean 100-episode return -715.18
Episode 3410, mean 100-episode return -182.14
Episode 1410, mean 100-episode return -618.47
Episode 2900, mean 100-episode return -266.8
Episode 2590, mean 100-episode return -210.0
Episode 3420, mean 100-episode return -182.32
Episode 2910, mean 100-episode return -267.95
Episode 2600, mean 100-episode return -212.82
Episode 1180, mean 100-episode return -738.19
Episode 3430, mean 100-episode return -179.06
Episode 2610, mean 100-episode return -213.76
Episode 3440, mean 100-episode return -175.44
Episode 1440, mean 100-episode return -542.7
Episode 2920, mean 100-episode return -279.86
Episode 1420, mean 100-episode return -616.99
Episode 3450, mean 100-episode return -173.24
Episode 2620, mean 100-episode return -213.66
Episode 960, mean 100-episode return -977.88
Episode 2930, mean 100-episode return -281.02
Episode 3460, mean 100-episode return -173.08
Episode 1340, mean 100-episode return -751.99
Episode 2630, mean 100-episode return -217.67
Episode 3470, mean 100-episode return -173.02
Episode 1190, mean 100-episode return -730.2
Episode 2940, mean 100-episode return -281.41
Episode 2640, mean 100-episode return -218.11
Episode 1430, mean 100-episode return -600.73
Episode 3480, mean 100-episode return -174.33
Episode 1450, mean 100-episode return -541.54
Episode 2950, mean 100-episode return -278.8
Episode 2650, mean 100-episode return -215.66
Episode 3490, mean 100-episode return -175.47
Episode 2660, mean 100-episode return -215.59
Episode 3500, mean 100-episode return -177.18
Episode 2960, mean 100-episode return -277.68
Episode 1440, mean 100-episode return -599.08
Episode 970, mean 100-episode return -972.72
Episode 1200, mean 100-episode return -738.79
Episode 3510, mean 100-episode return -177.03
Episode 2670, mean 100-episode return -212.21
Episode 1350, mean 100-episode return -805.7
Episode 2970, mean 100-episode return -263.73
Episode 2680, mean 100-episode return -214.49
Episode 3520, mean 100-episode return -178.16
Episode 2690, mean 100-episode return -214.09
Episode 2980, mean 100-episode return -257.96
Episode 3530, mean 100-episode return -183.09
Episode 1450, mean 100-episode return -608.99
Episode 1460, mean 100-episode return -597.78
Episode 2700, mean 100-episode return -212.35
Episode 3540, mean 100-episode return -187.93
Episode 2990, mean 100-episode return -261.53
Episode 1210, mean 100-episode return -728.46
Episode 2710, mean 100-episode return -206.99
Episode 1360, mean 100-episode return -849.72
Episode 3550, mean 100-episode return -189.66
Episode 980, mean 100-episode return -977.51
Episode 2720, mean 100-episode return -207.71
Episode 3000, mean 100-episode return -270.78
